Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,DateTime,hour,day_of_week,month,is_weekend,GAP_rolling_mean_60,GAP_rolling_mean_120,GAP_diff_1,GAP_diff_60,sub_metering_total
0.382,0.142,241.48,2.0,0.0,0.0,0.0,2009-02-14 01:46:00,1,5,2,1,0.32303333333333334,0.3299833333333334,0.07,-0.0040000000000000036,0.0
0.342,0.132,246.05,1.4,0.0,0.0,0.0,2009-01-10 15:01:00,15,5,1,1,1.1344333333333334,1.2350666666666668,-0.26599999999999996,-1.5379999999999998,0.0
2.48,0.364,243.03,10.2,0.0,4.0,0.0,2009-01-04 16:55:00,16,6,1,1,2.1175333333333333,2.0154,-0.021999999999999797,1.1099999999999999,4.0
0.212,0.088,242.7,1.0,0.0,0.0,0.0,2007-09-17 03:02:00,3,0,9,0,0.2086,0.2211,0.01999999999999999,-0.036000000000000004,0.0
2.058,0.0,238.97,8.6,0.0,0.0,18.0,2008-05-28 08:47:00,8,2,5,0,1.6353333333333333,1.3230166666666667,0.0,0.6219999999999999,18.0
0.378,0.196,244.96,1.6,0.0,1.0,1.0,2010-04-05 00:04:00,0,0,4,0,0.46493333333333337,0.5073166666666667,-0.0020000000000000018,-0.356,2.0
1.154,0.054,243.77,4.8,0.0,0.0,0.0,2009-02-10 22:38:00,22,1,2,0,1.7582333333333333,1.855,0.0020000000000000018,-0.14400000000000013,0.0
0.742,0.234,241.1,3.4,0.0,0.0,7.0,2010-10-02 03:03:00,3,5,10,1,0.31216666666666676,0.6032833333333334,0.39999999999999997,0.398,7.0
0.272,0.0,244.63,1.2,0.0,0.0,0.0,2008-12-17 02:16:00,2,2,12,0,0.3286666666666667,0.6909500000000001,-0.03799999999999998,-0.172,0.0
0.356,0.21,241.78,1.8,0.0,2.0,1.0,2009-07-08 03:35:00,3,2,7,0,0.3852,0.7009333333333334,0.01799999999999996,0.142,3.0
0.284,0.146,242.72,1.4,0.0,0.0,1.0,2009-07-15 04:30:00,4,2,7,0,0.2937333333333333,0.27305000000000007,-0.04200000000000004,0.025999999999999968,1.0
1.406,0.194,235.69,6.2,0.0,1.0,0.0,2007-05-02 21:54:00,21,2,5,0,1.7464000000000002,1.36365,0.16599999999999993,0.30999999999999983,1.0
2.632,0.0,237.14,11.0,2.0,0.0,17.0,2007-01-29 20:52:00,20,0,1,0,3.3111666666666664,3.1825666666666668,0.07000000000000028,0.6740000000000002,19.0
0.408,0.198,241.78,1.8,0.0,0.0,0.0,2010-04-30 05:56:00,5,4,4,0,0.5817666666666667,0.7854333333333334,-0.0040000000000000036,-1.036,0.0
1.328,0.0,242.83,5.4,0.0,0.0,18.0,2010-03-29 15:09:00,15,0,3,0,1.4119666666666666,1.4119,-0.006000000000000005,-0.08399999999999985,18.0
0.236,0.05,236.75,1.0,0.0,0.0,0.0,2007-05-29 06:20:00,6,1,5,0,0.31176666666666664,0.3002166666666667,0.0,0.005999999999999978,0.0
1.988,0.082,238.18,8.2,0.0,0.0,28.0,2009-04-17 08:00:00,8,4,4,0,2.498833333333333,2.6085499999999997,0.006000000000000005,-0.7480000000000002,28.0
0.294,0.07,244.73,1.2,0.0,0.0,0.0,2007-12-20 06:49:00,6,3,12,0,1.0669,0.6762333333333334,-0.0020000000000000018,-0.016000000000000014,0.0
0.666,0.068,241.14,2.8,0.0,0.0,1.0,2009-06-29 21:35:00,21,0,6,0,0.6100333333333333,0.54225,0.02400000000000002,0.20400000000000001,1.0
1.316,0.0,238.98,5.4,0.0,0.0,18.0,2008-04-13 10:52:00,10,6,4,1,1.9958333333333333,1.68165,0.0020000000000000018,0.686,18.0
0.642,0.052,241.03,2.6,0.0,0.0,1.0,2008-07-06 03:44:00,3,6,7,1,0.7214333333333334,0.7052833333333334,-0.0020000000000000018,-0.016000000000000014,1.0
0.112,0.0,237.61,0.6,0.0,0.0,0.0,2007-09-17 11:52:00,11,0,9,0,0.18093333333333333,0.19736666666666663,0.0,-0.178,0.0
0.76,0.424,240.92,3.6,1.0,0.0,0.0,2009-02-01 11:58:00,11,6,2,1,1.4381,0.9955,-0.0040000000000000036,0.28800000000000003,1.0
0.454,0.23,248.63,2.0,0.0,0.0,0.0,2008-12-16 02:47:00,2,1,12,0,0.32956666666666673,0.34480000000000005,0.0,0.09000000000000002,0.0
0.132,0.0,240.98,0.6,0.0,0.0,0.0,2007-09-01 07:39:00,7,5,9,1,0.8066333333333334,0.4994166666666667,0.018000000000000002,-0.068,0.0
0.156,0.0,241.31,0.6,0.0,0.0,0.0,2010-07-28 02:39:00,2,2,7,0,0.7889333333333333,1.3353833333333334,0.0,-1.254,0.0
3.862,0.56,244.39,16.2,9.0,10.0,19.0,2010-01-10 15:32:00,15,6,1,1,5.045466666666667,3.863783333333333,-1.1959999999999997,-0.8719999999999999,38.0
0.136,0.0,244.1,0.6,0.0,0.0,0.0,2009-09-07 12:31:00,12,0,9,0,0.25716666666666665,0.6105,0.0,-0.172,0.0
1.524,0.062,240.05,6.2,0.0,0.0,18.0,2010-04-04 19:37:00,19,6,4,1,2.0581666666666667,2.4428666666666667,0.1080000000000001,-0.19999999999999996,18.0
0.292,0.0,243.7,1.2,0.0,0.0,0.0,2008-03-27 15:31:00,15,3,3,0,0.313,0.29825,-0.066,0.043999999999999984,0.0
0.34,0.0,234.97,1.4,0.0,0.0,0.0,2007-05-15 06:41:00,6,1,5,0,0.34166666666666673,0.34595000000000004,0.0,-0.09999999999999998,0.0
5.894,0.0,232.69,25.4,0.0,0.0,16.0,2006-12-16 17:44:00,17,5,12,1,4.1036,3.7721666666666667,2.166,-0.7640000000000002,16.0
3.976,0.308,238.96,16.6,1.0,0.0,27.0,2010-07-14 23:29:00,23,2,7,0,3.3539666666666665,2.8780166666666664,0.6480000000000001,1.242,28.0
0.498,0.102,240.04,2.0,0.0,0.0,1.0,2010-03-04 12:22:00,12,3,3,0,0.38833333333333336,0.3717,0.066,0.03199999999999997,1.0
3.422,0.342,238.3,14.4,0.0,33.0,0.0,2008-10-24 20:16:00,20,4,10,0,4.003633333333333,3.309083333333333,0.98,0.6320000000000001,33.0
1.662,0.142,239.59,6.8,0.0,2.0,19.0,2010-07-07 14:07:00,14,2,7,0,0.5854666666666667,0.49920000000000003,0.972,1.424,21.0
0.328,0.094,240.05,1.4,0.0,2.0,1.0,2008-10-05 23:06:00,23,6,10,1,0.39920000000000005,0.3703666666666667,-0.006000000000000005,-0.019999999999999962,3.0
0.328,0.08,241.92,1.4,0.0,0.0,0.0,2009-10-18 05:08:00,5,6,10,1,0.2905333333333333,0.3394666666666667,0.0,-0.07200000000000001,0.0
1.696,0.102,234.63,7.2,2.0,0.0,0.0,2007-07-27 21:47:00,21,4,7,0,1.8446,1.5233999999999999,-0.040000000000000036,0.06800000000000006,2.0
0.252,0.0,245.48,1.0,0.0,0.0,1.0,2010-03-12 07:03:00,7,4,3,0,0.3637666666666667,0.33986666666666665,0.0,-0.19,1.0
0.158,0.0,239.68,0.6,0.0,0.0,1.0,2010-05-28 05:52:00,5,4,5,0,0.2847,0.29729999999999995,0.0,-0.07799999999999999,1.0
0.216,0.0,242.19,1.0,0.0,0.0,0.0,2007-01-09 04:35:00,4,1,1,0,0.8513000000000001,0.5743666666666666,0.0020000000000000018,-0.204,0.0
0.378,0.0,243.92,1.8,0.0,0.0,1.0,2008-09-15 12:02:00,12,0,9,0,0.7685000000000001,1.1619666666666666,0.0020000000000000018,-1.0499999999999998,1.0
0.654,0.304,233.39,3.0,0.0,3.0,0.0,2007-05-23 13:13:00,13,2,5,0,0.9866333333333334,1.2940333333333336,-0.008000000000000007,-0.7599999999999999,3.0
0.278,0.0,244.06,1.2,0.0,0.0,1.0,2010-01-03 01:39:00,1,6,1,1,0.33113333333333334,0.3920333333333333,0.0,-0.09399999999999997,1.0
0.328,0.242,238.93,1.6,0.0,1.0,1.0,2008-07-04 02:04:00,2,4,7,0,0.3098666666666667,0.3207166666666667,-0.019999999999999962,0.17400000000000002,2.0
1.652,0.122,234.17,7.0,0.0,6.0,17.0,2007-05-24 19:25:00,19,3,5,0,1.0829333333333333,0.7043166666666667,0.20399999999999996,1.3379999999999999,23.0
0.368,0.12,244.86,1.6,0.0,0.0,1.0,2009-09-23 00:06:00,0,2,9,0,0.39313333333333333,0.6466833333333334,0.0,-0.126,1.0
1.418,0.066,244.39,5.8,0.0,1.0,0.0,2009-01-17 05:08:00,5,5,1,1,1.4389333333333334,1.4443,-0.0040000000000000036,0.05599999999999983,1.0
2.906,0.206,238.84,12.2,0.0,40.0,0.0,2008-05-11 10:40:00,10,6,5,1,1.1882666666666668,0.89915,1.9200000000000002,2.5500000000000003,40.0
0.222,0.0,243.28,1.0,0.0,0.0,0.0,2007-02-25 16:59:00,16,6,2,1,0.2892,0.27770000000000006,0.0040000000000000036,0.006000000000000005,0.0
0.288,0.216,239.66,1.4,0.0,1.0,0.0,2009-07-06 17:58:00,17,0,7,0,0.3002333333333333,0.2970666666666667,0.0,0.06199999999999997,1.0
1.812,0.318,240.17,7.6,0.0,2.0,17.0,2008-03-03 05:38:00,5,0,3,0,1.2373,0.8968333333333334,0.06000000000000005,1.202,19.0
4.622,0.3,245.42,18.8,41.0,0.0,0.0,2009-01-07 19:37:00,19,2,1,0,2.6405,2.2513166666666664,0.017999999999999794,2.316,41.0
0.514,0.102,241.67,2.2,0.0,1.0,0.0,2010-03-01 22:32:00,22,0,3,0,1.0855333333333332,1.2272333333333334,-0.014000000000000012,-0.16600000000000004,1.0
2.504,0.164,238.17,10.4,0.0,1.0,1.0,2008-04-10 22:27:00,22,3,4,0,2.252733333333333,2.30035,0.1280000000000001,0.8,2.0
0.692,0.0,240.87,2.8,0.0,0.0,0.0,2007-03-16 04:07:00,4,4,3,0,0.7602666666666666,0.7676166666666667,0.0,-0.15800000000000003,0.0
0.632,0.284,239.66,2.8,0.0,4.0,0.0,2007-05-24 23:17:00,23,3,5,0,2.297366666666667,2.34045,-0.018000000000000016,-0.9720000000000001,4.0
1.83,0.1,244.13,7.4,0.0,0.0,19.0,2010-01-29 10:18:00,10,4,1,0,1.8463999999999998,2.466683333333333,0.0,-0.5179999999999998,19.0
0.328,0.09,243.32,1.4,0.0,0.0,1.0,2008-05-04 08:54:00,8,6,5,1,0.5049666666666667,0.4227666666666667,-0.8859999999999999,-0.01599999999999996,1.0
3.362,0.0,235.99,14.2,0.0,0.0,18.0,2009-12-06 17:31:00,17,6,12,1,2.1273333333333335,1.7539333333333331,0.03200000000000003,2.29,18.0
1.408,0.074,244.22,5.6,0.0,0.0,19.0,2010-04-06 11:55:00,11,1,4,0,1.9343000000000001,2.00165,-0.19200000000000017,-0.18800000000000017,19.0
1.404,0.072,247.09,5.6,0.0,0.0,19.0,2009-01-21 12:45:00,12,2,1,0,1.5432333333333332,1.4400833333333334,0.05999999999999983,0.09199999999999986,19.0
3.726,0.0,239.58,15.4,0.0,39.0,18.0,2009-05-21 15:43:00,15,3,5,0,1.6238000000000001,1.53,0.8900000000000001,2.246,57.0
0.52,0.102,241.09,2.2,0.0,0.0,0.0,2007-10-02 23:19:00,23,1,10,0,0.7835,1.46265,-0.0020000000000000018,-1.658,0.0
0.428,0.05,240.29,2.0,0.0,0.0,0.0,2008-11-02 11:55:00,11,6,11,1,0.47726666666666673,0.5001166666666667,-0.0020000000000000018,0.0040000000000000036,0.0
0.138,0.0,239.42,0.6,0.0,0.0,0.0,2008-07-07 13:09:00,13,0,7,0,0.2555666666666667,0.24865,0.0,-0.16999999999999998,0.0
1.54,0.06,242.54,6.2,0.0,0.0,19.0,2010-03-30 14:13:00,14,1,3,0,2.1472333333333333,1.8505333333333334,0.0020000000000000018,-1.9500000000000002,19.0
0.346,0.122,244.75,1.4,0.0,0.0,0.0,2008-02-17 23:28:00,23,6,2,1,0.6925666666666666,1.2884166666666665,-0.030000000000000027,-1.4020000000000001,0.0
0.356,0.09,244.57,1.6,0.0,0.0,0.0,2009-03-04 02:07:00,2,2,3,0,0.3499333333333333,0.6979833333333334,-0.0020000000000000018,0.09599999999999997,0.0
2.256,0.072,235.9,9.4,0.0,0.0,18.0,2009-10-25 21:37:00,21,6,10,1,2.2931000000000004,2.3545666666666665,0.011999999999999567,-0.5660000000000003,18.0
0.398,0.114,244.71,1.6,0.0,1.0,0.0,2009-05-09 03:04:00,3,5,5,1,0.4254,0.4080833333333334,0.0,0.016000000000000014,1.0
1.448,0.228,239.64,6.0,1.0,0.0,19.0,2008-05-14 14:59:00,14,2,5,0,0.9348666666666666,0.8987499999999999,-0.0040000000000000036,0.10399999999999987,20.0
0.144,0.05,240.03,0.6,0.0,0.0,1.0,2010-09-25 02:50:00,2,5,9,1,0.225,0.5964833333333334,0.0,-0.07,1.0
0.6,0.38,233.9,3.0,0.0,0.0,0.0,2007-06-04 21:43:00,21,0,6,0,0.5243666666666666,0.5492166666666667,0.0,-0.0040000000000000036,0.0
0.422,0.252,242.83,2.0,0.0,1.0,1.0,2010-03-20 10:39:00,10,5,3,1,0.422,0.422,0.0,0.0,2.0
0.218,0.0,246.23,0.8,0.0,0.0,0.0,2008-12-28 09:20:00,9,6,12,1,0.7699333333333335,1.07405,0.0020000000000000018,-1.188,0.0
1.302,0.0,241.07,5.4,0.0,0.0,18.0,2008-03-28 13:48:00,13,4,3,0,1.4009,1.89205,0.016000000000000014,-0.08399999999999985,18.0
1.598,0.186,236.22,7.0,0.0,1.0,23.0,2010-09-17 07:57:00,7,4,9,0,1.9389,1.24885,0.30400000000000005,-0.696,24.0
0.382,0.224,239.39,1.8,1.0,0.0,0.0,2009-08-21 09:01:00,9,4,8,0,1.5374,1.6342833333333333,0.008000000000000007,-1.12,1.0
1.324,0.104,239.99,5.4,0.0,1.0,19.0,2008-06-14 14:04:00,14,5,6,1,1.5328666666666666,1.6801666666666668,-0.0040000000000000036,-0.20399999999999996,20.0
1.484,0.202,241.4,6.2,0.0,0.0,18.0,2008-04-04 23:37:00,23,4,4,0,1.5258666666666665,1.8674166666666667,0.07400000000000007,-0.5659999999999998,18.0
1.226,0.056,242.25,5.0,0.0,0.0,18.0,2010-09-20 16:15:00,16,0,9,0,1.3400333333333334,1.2253333333333332,-0.0020000000000000018,0.010000000000000009,18.0
1.378,0.09,242.07,5.6,0.0,1.0,18.0,2010-04-06 08:14:00,8,1,4,0,1.1474333333333333,0.8617333333333334,0.0039999999999997815,0.94,19.0
2.27,0.058,241.97,9.4,0.0,0.0,18.0,2009-01-17 23:07:00,23,5,1,1,2.3491,2.90365,-0.03600000000000003,-0.11799999999999988,18.0
1.406,0.046,240.75,5.8,0.0,0.0,18.0,2008-03-28 10:56:00,10,4,3,0,2.289833333333333,2.1761666666666666,0.0,-2.2880000000000003,18.0
2.404,0.132,239.21,10.0,0.0,0.0,18.0,2009-12-02 21:59:00,21,2,12,0,2.2838666666666665,2.4982499999999996,-0.0040000000000000036,0.772,18.0
0.26,0.122,242.04,1.2,0.0,0.0,1.0,2010-06-26 20:53:00,20,5,6,1,0.3682,0.3824666666666667,0.0,-0.08799999999999997,1.0
3.624,0.256,236.23,15.4,37.0,0.0,0.0,2008-01-10 21:54:00,21,3,1,0,2.9773666666666667,3.0420333333333334,0.010000000000000231,0.3999999999999999,37.0
0.106,0.0,239.34,0.4,0.0,0.0,0.0,2007-08-15 07:11:00,7,2,8,0,0.1943,0.19416666666666668,0.0,-0.14,0.0
0.22,0.152,234.77,1.0,0.0,0.0,0.0,2007-08-11 07:09:00,7,5,8,1,0.17923333333333333,0.1882833333333333,-0.014000000000000012,0.096,0.0
0.588,0.216,240.11,2.6,0.0,0.0,0.0,2010-03-05 22:26:00,22,4,3,0,1.2527333333333333,0.9679833333333333,0.014000000000000012,-0.10399999999999998,0.0
0.272,0.0,245.73,1.2,0.0,0.0,0.0,2009-01-08 16:01:00,16,3,1,0,0.31593333333333334,0.42555,0.0,-0.07199999999999995,0.0
0.294,0.088,241.78,1.2,0.0,0.0,0.0,2009-10-11 07:39:00,7,6,10,1,0.3628666666666667,0.3849166666666667,0.0,-0.014000000000000012,0.0
0.436,0.214,247.06,2.0,0.0,0.0,0.0,2009-01-08 16:34:00,16,3,1,0,0.3434666666666667,0.3332833333333334,-0.006000000000000005,0.04999999999999999,0.0
1.594,0.0,238.66,6.6,0.0,0.0,18.0,2007-02-20 11:11:00,11,1,2,0,1.7468666666666666,2.037716666666667,0.0,-0.18999999999999995,18.0
3.708,0.376,238.99,15.6,0.0,37.0,18.0,2010-09-12 13:23:00,13,6,9,1,1.4017666666666668,1.2895333333333334,0.020000000000000018,3.0700000000000003,55.0
2.594,0.068,236.41,11.0,0.0,0.0,0.0,2007-11-11 17:38:00,17,6,11,1,1.2764333333333333,1.1678166666666667,0.19799999999999995,1.9099999999999997,0.0
4.1,0.0,240.88,17.0,0.0,39.0,18.0,2009-12-19 12:08:00,12,5,12,1,2.9042,2.2537000000000003,0.0779999999999994,1.8019999999999996,57.0
0.174,0.102,240.28,0.8,0.0,0.0,0.0,2007-08-19 11:51:00,11,6,8,1,0.16190000000000002,0.164,-0.0020000000000000018,-0.02400000000000002,0.0
1.446,0.118,242.24,6.0,0.0,0.0,18.0,2008-02-23 23:20:00,23,5,2,1,1.6384666666666665,1.69155,-0.0040000000000000036,-0.42400000000000015,18.0
0.148,0.0,237.13,0.6,0.0,0.0,1.0,2008-09-04 18:42:00,18,3,9,0,0.27456666666666674,0.26948333333333335,0.0,-0.096,1.0
1.312,0.1,238.21,5.4,0.0,0.0,18.0,2010-06-23 08:20:00,8,2,6,0,1.4262,1.2342666666666666,-0.0020000000000000018,-0.1519999999999999,18.0
0.284,0.0,244.4,1.2,1.0,0.0,0.0,2009-02-21 14:52:00,14,5,2,1,1.0538333333333334,1.3521499999999997,-0.03400000000000003,-3.192,1.0
0.41,0.158,245.62,2.0,0.0,0.0,0.0,2009-02-05 15:34:00,15,3,2,0,0.9891333333333333,1.5131833333333335,0.05399999999999999,-1.1580000000000001,0.0
0.32,0.05,242.33,1.4,0.0,0.0,0.0,2008-04-24 16:46:00,16,3,4,0,0.8976333333333334,0.6209,0.066,0.028000000000000025,0.0
0.324,0.078,244.58,1.4,0.0,0.0,1.0,2009-10-20 15:34:00,15,1,10,0,0.40436666666666665,0.58865,-0.14599999999999996,-0.132,1.0
0.9,0.236,242.58,4.0,0.0,0.0,0.0,2007-01-26 10:10:00,10,4,1,0,0.8185333333333333,0.6971333333333334,0.08400000000000007,0.134,0.0
1.426,0.046,240.0,6.0,0.0,0.0,18.0,2009-05-30 09:15:00,9,5,5,1,1.7565666666666666,1.4080000000000001,0.0,-0.16200000000000014,18.0
1.034,0.396,240.68,4.6,0.0,1.0,12.0,2009-09-16 01:27:00,1,2,9,0,0.3587666666666667,0.5866166666666667,0.026000000000000023,0.788,13.0
0.23,0.0,248.65,1.0,0.0,0.0,0.0,2008-03-11 02:32:00,2,1,3,0,0.3457333333333334,0.9994666666666666,-0.005999999999999978,-0.6880000000000001,0.0
1.444,0.102,243.83,5.8,0.0,1.0,19.0,2010-01-28 02:18:00,2,3,1,0,1.4572666666666665,1.4649499999999998,0.0020000000000000018,0.04600000000000004,20.0
0.416,0.208,243.51,1.8,0.0,0.0,1.0,2009-10-23 05:06:00,5,4,10,0,0.32206666666666667,0.33325,-0.008000000000000007,0.013999999999999957,1.0
1.122,0.0,231.09,4.8,0.0,0.0,16.0,2007-08-03 13:13:00,13,4,8,0,1.6658666666666666,1.6630166666666668,0.0020000000000000018,-0.19999999999999996,16.0
0.244,0.248,239.05,1.4,0.0,0.0,0.0,2008-08-05 15:27:00,15,1,8,0,0.25353333333333333,0.2849166666666667,0.0,0.04999999999999999,0.0
1.986,0.112,239.7,8.6,0.0,28.0,0.0,2010-08-15 18:03:00,18,6,8,1,1.8783333333333334,1.9186166666666666,0.3360000000000001,-0.5879999999999999,28.0
2.792,0.39,238.78,11.8,0.0,0.0,19.0,2008-05-28 21:37:00,21,2,5,0,1.4820666666666666,1.4391333333333336,-0.008000000000000007,1.888,19.0
2.17,0.234,240.57,9.0,0.0,0.0,18.0,2009-11-29 10:59:00,10,6,11,1,1.5219666666666667,1.1751166666666668,0.03200000000000003,-0.01200000000000001,18.0
2.7,0.374,246.59,11.0,0.0,13.0,1.0,2009-12-12 20:33:00,20,5,12,1,4.137166666666666,3.0326,0.5020000000000002,0.18200000000000038,14.0
1.378,0.078,240.23,5.6,0.0,2.0,17.0,2007-11-12 15:43:00,15,0,11,0,1.3653,1.3640833333333333,-0.07000000000000006,-0.006000000000000005,19.0
1.09,0.38,238.57,4.8,0.0,2.0,1.0,2010-02-23 20:43:00,20,1,2,0,1.2159,2.2482333333333333,0.0,-0.9279999999999997,3.0
0.24,0.0,243.01,1.0,0.0,0.0,0.0,2009-06-21 04:19:00,4,6,6,1,0.3346,0.3424,0.0,-0.08600000000000002,0.0
2.818,0.088,237.23,11.8,0.0,0.0,17.0,2007-10-17 21:53:00,21,2,10,0,2.9576,2.7608,0.002000000000000224,1.092,17.0
0.698,0.058,239.92,3.2,1.0,0.0,9.0,2008-06-29 13:30:00,13,6,6,1,1.0393333333333332,0.9828666666666666,-0.264,-0.8380000000000001,10.0
1.398,0.048,238.1,5.8,0.0,1.0,18.0,2008-11-15 10:59:00,10,5,11,1,1.5404333333333335,1.4888499999999998,0.01200000000000001,0.09399999999999986,19.0
1.256,0.052,237.44,5.2,0.0,0.0,17.0,2007-11-21 12:54:00,12,2,11,0,1.1435,0.8444166666666667,0.0,0.654,17.0
